month,surface_air mean_temp,mean_sunshine_hrs,mean_realtive humidity,total_rainfall,no_of_rainy_days,max_temperature,temp_category
Jan-82,25.9,-0.05383091,-0.403998769,-0.607470175,-0.803978698,-1.804659521,0
Feb-82,27.1,1.605039989,-0.916635863,-1.306230982,-1.813408715,1.129430252,1
Mar-82,27.2,-0.468548635,-0.072292414,-0.134286628,-0.602092694,1.129430252,1
Apr-82,27,-0.800322814,1.013292019,-0.167770752,0.003565316,-0.215360894,0
May-82,28,0.11205618,0.199103694,-0.650647073,-0.803978698,-0.582122116,1
Jun-82,28.4,1.356209354,-0.675394878,-1.026902892,-1.207750705,-0.093107153,1
Jul-82,28.2,1.605039989,-1.489583203,-0.878867815,-1.207750705,-0.459868375,1
Aug-82,27.7,-0.219718,-0.645239754,-0.057625606,-0.602092694,-0.215360894,1
Sep-82,27.9,-0.38560509,-0.584929508,-1.074485595,-1.005864701,-0.215360894,1
Oct-82,27.4,-0.05383091,-0.3135334,-1.204897448,-0.803978698,0.518161549,1
Nov-82,27.3,0.11205618,0.25941394,-0.370437821,-0.198320688,1.129430252,1
Dec-82,26.2,-1.961532443,1.556084236,2.802623547,1.41676734,-0.459868375,0
Jan-83,26.5,-1.132096994,0.92282665,0.616462688,0.811109329,-1.56015204,0
Feb-83,28.1,3.015080252,-1.36896271,-1.501848762,-2.419066725,1.496191474,1
Mar-83,28.9,2.683306073,-1.972065173,-1.38729781,-2.419066725,2.96323636,1
Apr-83,29.4,0.775604539,-1.610203695,-1.255123634,-2.015294718,2.96323636,1
May-83,28.3,0.194999725,0.199103694,-0.134286628,-0.602092694,0.76266903,1
Jun-83,28.3,0.194999725,-0.042137291,-0.722902289,-0.602092694,0.273654068,1
Jul-83,27.6,-0.219718,0.34987931,0.123012433,0.811109329,-0.459868375,1
Aug-83,28.1,0.526773905,-0.403998769,0.759210797,-0.803978698,-0.826629597,1
Sep-83,27.2,-1.546814719,0.560965172,-0.046170511,0.811109329,-0.704375856,1
Oct-83,27.6,-0.38560509,-0.011982168,0.323036019,0.609223326,0.395907809,1
Nov-83,26.6,-2.044475988,0.802206157,0.464902967,0.811109329,-0.948883337,0
Dec-83,25.4,-2.459193713,1.646549605,1.714389504,0.407337323,-2.538181964,0
Jan-84,25.5,-1.297984084,0.983136896,0.662283069,0.811109329,-2.049167002,0
Feb-84,25.8,-1.297984084,1.043447142,2.59378835,1.012995333,-2.293674483,0
Mar-84,26.5,-0.302661545,0.862516403,1.632441515,1.012995333,-0.704375856,0
Apr-84,27.3,0.44383036,0.380034433,-0.202136038,0.609223326,-0.826629597,1
May-84,27.3,0.609717449,0.470499802,0.092171792,-0.400206691,-0.582122116,1
Jun-84,27.5,-0.219718,0.168948571,0.695767193,0.003565316,-0.826629597,1
Jul-84,27.2,0.029112635,0.34987931,-0.430356781,-0.400206691,-0.459868375,1
Aug-84,27.4,0.27794327,0.470499802,-0.646241267,-0.198320688,-0.704375856,1
Sep-84,26.8,-0.634435724,0.410189556,0.093934115,0.609223326,-1.193390818,0
Oct-84,27.4,-0.302661545,-0.011982168,0.100983404,-0.602092694,0.029146587,1
Nov-84,26.5,-1.132096994,1.133912512,-0.425950975,0.609223326,-0.826629597,0
Dec-84,26,-1.961532443,1.254533004,0.893147295,1.618653343,-1.437898299,0
Jan-85,26.6,2.517418983,-0.3135334,-0.572223729,-1.409636708,-0.459868375,0
Feb-85,27,0.692660994,0.440344679,-0.85243298,-0.602092694,0.395907809,0
Mar-85,27.1,-0.05383091,0.410189556,-0.775771959,-0.198320688,-0.093107153,1
Apr-85,27.5,-0.136774455,0.380034433,-0.577510696,0.003565316,1.007176511,1
May-85,28,0.029112635,0.25941394,-0.933499808,-0.400206691,0.273654068,1
Jun-85,28.2,0.11205618,-0.946790986,-1.225164155,0.003565316,1.985206436,1
Jul-85,27,-0.302661545,0.168948571,-0.389823367,0.609223326,-0.093107153,0
Aug-85,27.7,0.44383036,-0.645239754,-1.049813082,-0.602092694,-0.459868375,1
Sep-85,26.9,-0.55149218,0.168948571,-0.575748373,0.811109329,-1.071137078,0
Oct-85,26.7,-1.297984084,0.651430541,-0.062031412,1.41676734,0.029146587,0
Nov-85,26.6,-1.297984084,0.741895911,0.029609349,1.41676734,-0.459868375,0
Dec-85,26.1,-0.883266359,1.103757389,1.445635347,1.618653343,-1.193390818,0
Jan-86,25.7,-1.463871174,0.410189556,1.164544935,-0.198320688,-2.415928224,0
Feb-86,26.9,1.273265809,-1.248342217,-1.315923755,-2.419066725,-0.215360894,0
Mar-86,26.4,-0.883266359,1.224377881,1.562829783,0.609223326,-0.826629597,0
Apr-86,27.4,0.44383036,0.83236128,-0.229452034,0.003565316,-0.704375856,1
May-86,28.2,0.360886815,-0.22306803,-0.272628931,-0.198320688,0.029146587,1
Jun-86,27.9,0.941491629,-0.011982168,-0.468246711,-0.198320688,-0.215360894,1
