month,surface_air mean_temp,mean_sunshine_hrs,mean_realtive humidity,total_rainfall,no_of_rainy_days,max_temperature,temp_category
Jan-82,25.9,5.6,81.2,107.1,10,31.9,0
Feb-82,27.1,7.6,79.5,27.8,5,34.3,1
Mar-82,27.2,5.1,82.3,160.8,11,34.3,1
Apr-82,27,4.7,85.9,157,14,33.2,0
May-82,28,5.8,83.2,102.2,10,32.9,1
Jun-82,28.4,7.3,80.3,59.5,8,33.3,1
Jul-82,28.2,7.6,77.6,76.3,8,33,1
Aug-82,27.7,5.4,80.4,169.5,11,33.2,1
Sep-82,27.9,5.2,80.6,54.1,9,33.2,1
Oct-82,27.4,5.6,81.5,39.3,10,33.8,1
Nov-82,27.3,5.8,83.4,134,13,34.3,1
Dec-82,26.2,3.3,87.7,494.1,21,33,0
Jan-83,26.5,4.3,85.6,246,18,32.1,0
Feb-83,28.1,9.3,78,5.6,2,34.6,1
Mar-83,28.9,8.9,76,18.6,2,35.8,1
Apr-83,29.4,6.6,77.2,33.6,4,35.8,1
May-83,28.3,5.9,83.2,160.8,11,34,1
Jun-83,28.3,5.9,82.4,94,11,33.6,1
Jul-83,27.6,5.4,83.7,190,18,33,1
Aug-83,28.1,6.3,81.2,262.2,10,32.7,1
Sep-83,27.2,3.8,84.4,170.8,18,32.8,1
Oct-83,27.6,5.2,82.5,212.7,17,33.7,1
Nov-83,26.6,3.2,85.2,228.8,18,32.6,0
Dec-83,25.4,2.7,88,370.6,16,31.3,0
Jan-84,25.5,4.1,85.8,251.2,18,31.7,0
Feb-84,25.8,4.1,86,470.4,19,31.5,0
Mar-84,26.5,5.3,85.4,361.3,19,32.8,0
Apr-84,27.3,6.2,83.8,153.1,17,32.7,1
May-84,27.3,6.4,84.1,186.5,12,32.9,1
Jun-84,27.5,5.4,83.1,255,14,32.7,1
Jul-84,27.2,5.7,83.7,127.2,12,33,1
Aug-84,27.4,6,84.1,102.7,13,32.8,1
Sep-84,26.8,4.9,83.9,186.7,17,32.4,0
Oct-84,27.4,5.3,82.5,187.5,11,33.4,1
Nov-84,26.5,4.3,86.3,127.7,17,32.7,0
Dec-84,26,3.3,86.7,277.4,22,32.2,0
Jan-85,26.6,8.7,81.5,111.1,7,33,0
Feb-85,27,6.5,84,79.3,11,33.7,0
Mar-85,27.1,5.6,83.9,88,13,33.3,1
Apr-85,27.5,5.5,83.8,110.5,14,34.2,1
May-85,28,5.7,83.4,70.1,12,33.6,1
Jun-85,28.2,5.8,79.4,37,14,35,1
Jul-85,27,5.3,83.1,131.8,17,33.3,0
Aug-85,27.7,6.2,80.4,56.9,11,33,1
Sep-85,26.9,5,83.1,110.7,18,32.5,0
Oct-85,26.7,4.1,84.7,169,21,33.4,0
Nov-85,26.6,4.1,85,179.4,21,33,0
Dec-85,26.1,4.6,86.2,340.1,22,32.4,0
Jan-86,25.7,3.9,83.9,308.2,13,31.4,0
Feb-86,26.9,7.2,78.4,26.7,2,33.2,0
Mar-86,26.4,4.6,86.6,353.4,17,32.7,0
Apr-86,27.4,6.2,85.3,150,14,32.8,1
May-86,28.2,6.1,81.8,145.1,13,33.4,1
Jun-86,27.9,6.8,82.5,122.9,13,33.2,1
Jul-86,27.9,6.2,79.9,109.7,12,33.2,1
Aug-86,28.3,5.6,77.3,72.9,11,34.2,1
Sep-86,26.7,4.8,84.4,396,22,32.4,0
Oct-86,26.9,5,85,227.3,20,32.6,0
Nov-86,26.6,4.5,84.1,256.7,21,32.8,0
Dec-86,26.3,5.4,85.2,367.2,16,32,0
Jan-87,25.5,4,86,568.6,16,31.4,0
Feb-87,26.6,9.2,79,86.9,7,33,0
Mar-87,27.5,6.9,83.2,132.5,12,33.3,1
Apr-87,27.9,6.2,82.8,72.5,10,34.6,1
May-87,27.6,5.6,84.6,270,16,33.2,1
Jun-87,28.7,6.8,80.7,126.6,15,33.5,1
Jul-87,28.1,6.7,81.3,80.9,11,33.7,1
Aug-87,27.4,5.1,83.6,191.9,16,33.8,1
Sep-87,27.6,5.4,82.5,129.9,11,33.6,1
Oct-87,27.9,5.8,82.1,22.6,9,33.7,1
Nov-87,27.3,4.5,84,347.6,17,33.3,1
Dec-87,26.4,4.8,84.6,72.8,11,32.8,0
Jan-88,26.8,5.9,84.3,237.5,15,33.1,0
Feb-88,27.1,6.7,83.2,158.1,9,33.8,1
Mar-88,27.3,5.2,85.3,186.8,15,34.7,1
Apr-88,27.8,5.4,84.5,109.6,13,33.7,1
May-88,28.4,5.6,82.7,229.6,14,34.2,1
Jun-88,28,6.5,81.6,252.2,13,33.6,1
Jul-88,27.3,6,84,305.4,15,33.8,1
Aug-88,27,4.9,84.9,80.1,14,32.7,0
Sep-88,27.1,4.8,84.5,440.4,14,33.3,1
Oct-88,27.5,4.1,83.2,134.6,17,34.5,1
Nov-88,26.3,3.7,86.8,401.4,23,32.8,0
Dec-88,26.2,5.7,81.1,62.9,11,31.6,0
Jan-89,26.5,5.8,84.1,189.7,10,32.8,0
Feb-89,26.6,6.7,78.3,52.4,3,33.3,0
Mar-89,26.3,4.5,87.6,305.9,21,32.5,0
Apr-89,27,5.7,86.4,198.6,17,34.5,0
May-89,27.3,5.2,86.6,194,12,33.3,1
Jun-89,27.5,6,83.3,117.6,12,33.2,1
Jul-89,27.7,6,82.6,157.6,12,32.7,1
Aug-89,27.1,5.3,83.7,201,18,33.3,1
Sep-89,26.9,5.5,84.4,247.3,14,32.7,0
Oct-89,27.1,5.5,83.7,111,16,32.9,1
Nov-89,26.7,5.4,86,508.4,20,32.8,0
Dec-89,26.3,4.8,85.5,179.7,18,32,0
Jan-90,26.2,5.3,83.8,147.4,13,32.1,0
Feb-90,27.6,8.9,80.9,24.1,8,34,1
Mar-90,28.2,8.3,77.6,94.2,4,34.7,1
Apr-90,28.5,6.3,81.2,52.4,10,35,1
May-90,28.6,6.5,81.1,180.1,11,34.6,1
Jun-90,28.3,6.3,80.7,112.6,9,33.8,1
Jul-90,27.5,5.9,82.7,124,12,33.5,1
Aug-90,28,5.8,82.3,146.6,13,33.9,1
Sep-90,27.2,5.1,83.2,204.5,17,33.3,1
Oct-90,27.5,5.9,83.5,56.4,12,33.3,1
Nov-90,27.2,4.6,83.5,180.4,17,34,1
Dec-90,26.3,5.5,86,201.1,16,31.8,0
Jan-91,26.7,5.6,84.1,123.9,13,33.1,0
Feb-91,27.1,7,81.6,45.5,7,33.5,1
Mar-91,27.8,7.1,79.9,92.4,10,34,1
Apr-91,27.7,5.8,84.3,134.2,13,34.1,1
May-91,27.7,5.1,86.6,256.4,23,33.2,1
Jun-91,28.6,7.1,81,88.7,9,33.6,1
Jul-91,28.5,6.7,78.7,37.3,8,34,1
Aug-91,28.2,5.3,79.8,226.2,8,33.6,1
Sep-91,27.5,4.1,83,123.1,12,32.5,1
Oct-91,27.5,4.2,81.4,52,5,33.4,1
Nov-91,26.3,3.5,86.5,205,19,32.6,0
Dec-91,25.6,3,90.7,492.3,19,31.5,0
Jan-92,26.6,6.6,82.4,83.9,9,31.8,0
Feb-92,27.5,7.7,80.5,62.4,4,33.1,1
Mar-92,28.2,7.4,80.6,67.6,6,34.7,1
Apr-92,28.4,6.4,82.4,160.3,13,34.6,1
May-92,28.1,5.7,83.3,63.1,13,34.1,1
Jun-92,28,5.5,82.7,162.8,14,33.6,1
Jul-92,27.3,4.7,83.8,290.8,19,33.5,1
Aug-92,27.8,5.7,81.1,76.1,11,33.6,1
Sep-92,27.3,5,82.9,83.6,13,34,1
Oct-92,27.4,4.5,82,233.2,20,32.9,1
Nov-92,26.1,3.7,87.7,474.3,18,32,0
Dec-92,25.5,3.4,90.3,502.7,23,31.4,0
Jan-93,26.2,5.5,85.7,176.4,11,31.6,0
Feb-93,26.7,8.5,80.5,69.2,8,32.7,0
Mar-93,26.7,5.4,86.3,250.5,14,32.2,0
Apr-93,27.6,6.4,84.5,283.9,20,33.5,1
May-93,28.2,6,82.9,129.9,10,34.2,1
Jun-93,28.5,6.2,80.9,115.5,17,33.3,1
Jul-93,27.9,5.2,83.2,240,15,32.8,1
Aug-93,28.6,7.4,79.4,106.8,11,33.9,1
Sep-93,27.9,5.9,81.4,61.7,7,33.2,1
Oct-93,27.5,5.2,84.3,175.5,13,33.2,1
Nov-93,26.9,4.7,87.4,250.8,18,32.5,0
Dec-93,26.5,4.2,87.4,308.5,19,32.9,0
Jan-94,26.9,6.1,82.1,56.9,7,32.4,0
Feb-94,27,6.4,84.5,133.5,15,32.5,0
Mar-94,26.8,3.5,87.1,288.2,19,32.2,0
Apr-94,27.9,5.8,84.8,154,15,33.6,1
May-94,28.1,5,84.8,169.6,16,32.6,1
Jun-94,28.1,6,83.5,184.7,14,33.1,1
Jul-94,28.4,7.6,78.9,53.8,6,32.7,1
Aug-94,28.1,6.5,80,45.1,12,32.9,1
Sep-94,28.3,3.8,78.7,23.7,6,34.1,1
Oct-94,27.9,4.5,81.5,84.7,11,34.2,1
Nov-94,26.7,4.5,88.4,322.2,21,32.5,0
Dec-94,26.9,5.3,85.5,425.4,18,32.6,0
Jan-95,26.8,5,86.2,349.4,21,32.8,0
Feb-95,26.5,4.9,87.5,334,16,32.4,0
Mar-95,27.6,5.9,83.9,67.7,10,33.2,1
Apr-95,27.9,5.6,85.3,242.3,16,33.5,1
May-95,28.5,6,83.7,84.4,11,34,1
Jun-95,28.9,6.6,81.9,63.7,12,34,1
Jul-95,28,5.2,82.6,173.6,13,33,1
Aug-95,27.4,4.1,85.6,211.6,21,32.4,1
